suite,experiment_id,scenario_id,backend,label,success_rate,collision_rate,min_clearance_mean,path_length_mean,completion_time_mean,mean_solve_time_ms,solver_failure_rate,summary_path
extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,ED,0.84,0.0,0.05790544031180509,5.327243285678137,5.484,1.8322912531957516,0.010129401921849863,results/extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting/summary.json
extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,CBF gamma=0.08,0.86,0.0,0.8225212080477451,5.970243826709114,6.054000000000001,1.8641722289160618,0.026316250834020102,results/extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting/summary.json
extended/scenarios/short_horizon_v1_random_shooting,E4,short_horizon_v1,random_shooting,ED,0.96,0.04,0.004370055337315694,4.855876393588185,3.894,1.1563213832177586,0.027677715238690857,results/extended/scenarios/short_horizon_v1_random_shooting/summary.json
extended/scenarios/short_horizon_v1_random_shooting,E4,short_horizon_v1,random_shooting,CBF gamma=0.08,1.0,0.0,0.6281064555079608,5.568001878600818,4.396,1.1911954097583506,0.12047686163965231,results/extended/scenarios/short_horizon_v1_random_shooting/summary.json
extended/speed_sweep/obstacle_speed_0.20,E4,obstacle_speed_0.20,random_shooting,ED,0.9,0.0,0.17804267845272626,5.316246767406136,5.42,1.8236336140792946,0.0011627906976744208,results/extended/speed_sweep/obstacle_speed_0.20/summary.json
extended/speed_sweep/obstacle_speed_0.20,E4,obstacle_speed_0.20,random_shooting,CBF gamma=0.08,0.85,0.0,0.9039593012048147,5.651227718592727,5.870000000000001,1.8617119519969656,0.041299694919914066,results/extended/speed_sweep/obstacle_speed_0.20/summary.json
extended/speed_sweep/obstacle_speed_0.35,E4,obstacle_speed_0.35,random_shooting,ED,0.9,0.0,0.07715586222930552,5.234845183154251,5.220000000000001,1.8401601488077162,0.004002525252525252,results/extended/speed_sweep/obstacle_speed_0.35/summary.json
extended/speed_sweep/obstacle_speed_0.35,E4,obstacle_speed_0.35,random_shooting,CBF gamma=0.08,0.85,0.0,0.8383147310336303,5.9500690166797146,5.915,1.8839964858509242,0.03321389157506542,results/extended/speed_sweep/obstacle_speed_0.35/summary.json
extended/speed_sweep/obstacle_speed_0.50,E4,obstacle_speed_0.50,random_shooting,ED,1.0,0.0,0.04900816117466805,5.417009089503743,5.630000000000001,1.86398805412508,0.02075887892806626,results/extended/speed_sweep/obstacle_speed_0.50/summary.json
extended/speed_sweep/obstacle_speed_0.50,E4,obstacle_speed_0.50,random_shooting,CBF gamma=0.08,0.6,0.0,0.6833142234949816,6.80248350347822,8.084999999999999,1.877550131351255,0.13368716707344075,results/extended/speed_sweep/obstacle_speed_0.50/summary.json
extended/speed_sweep/obstacle_speed_0.65,E4,obstacle_speed_0.65,random_shooting,ED,0.95,0.0,0.059625057331341505,5.126790099449535,4.85,1.8298449145199,0.009652023686907412,results/extended/speed_sweep/obstacle_speed_0.65/summary.json
extended/speed_sweep/obstacle_speed_0.65,E4,obstacle_speed_0.65,random_shooting,CBF gamma=0.08,0.5,0.0,0.45559873025300257,6.821950722338014,7.904999999999999,1.8808619381658658,0.27851681103014825,results/extended/speed_sweep/obstacle_speed_0.65/summary.json
extended/stress_100_seeds/base_random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,ED,0.89,0.0,0.0538026603165596,5.358115363839273,5.489000000000001,1.8396837650221534,0.0086451419649751,results/extended/stress_100_seeds/base_random_shooting/summary.json
extended/stress_100_seeds/base_random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,CBF gamma=0.08,0.81,0.0,0.8243678899499194,6.117666572267811,6.496999999999999,1.8692966647061824,0.025107216688069395,results/extended/stress_100_seeds/base_random_shooting/summary.json
paper_main/e4_base_50_seed,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,ED,0.84,0.0,0.05790544031180509,5.327243285678137,5.484,1.8254179723727062,0.010129401921849863,results/paper_main/e4_base_50_seed/summary.json
paper_main/e4_base_50_seed,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,CBF gamma=0.08,0.86,0.0,0.8225212080477451,5.970243826709114,6.054000000000001,1.850634739071831,0.026316250834020102,results/paper_main/e4_base_50_seed/summary.json
